epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.984,1.76262,1.1858,1.15289,0.72353,0.39557,0.45457,0.20947,1.78475,1.10714,1.13734,0.0802123,0.000199876,0.000199876
2,319.363,1.60841,0.95937,1.08985,0.76024,0.48733,0.56326,0.28957,1.52947,0.84846,1.05488,0.0604026,0.000390188,0.000390188
3,472.043,1.57289,0.90965,1.07687,0.78986,0.50676,0.57523,0.30081,1.50745,0.8176,1.05973,0.0405556,0.000543166,0.000543166
4,627.319,1.53275,0.86411,1.06149,0.79635,0.51617,0.59084,0.31127,1.4657,0.769,1.04308,0.0206491,0.000636664,0.000636664
5,781.537,1.49655,0.8172,1.04969,0.81702,0.5345,0.6112,0.32425,1.46055,0.74733,1.04208,0.000670304,0.000657882,0.000657882
6,935.563,1.45303,0.77567,1.03289,0.82868,0.55005,0.63025,0.33497,1.41607,0.70403,1.02819,0.000505,0.000505,0.000505
7,1088.5,1.42477,0.73577,1.02512,0.82931,0.55792,0.64091,0.35001,1.37567,0.68135,1.01287,0.000352037,0.000352037,0.000352037
8,1242.65,1.39487,0.70208,1.01403,0.83874,0.57022,0.65472,0.359,1.36719,0.65968,1.00765,0.000214046,0.000214046,0.000214046
9,1395.67,1.36962,0.67547,1.00229,0.84513,0.57697,0.66159,0.36558,1.34663,0.63563,1.00106,0.000104537,0.000104537,0.000104537
10,1549.63,1.34293,0.64897,0.99432,0.84612,0.58278,0.66778,0.36723,1.34144,0.62365,0.99718,3.4227e-05,3.4227e-05,3.4227e-05
